"Step","qmix_originalstate_seed3 - eval_win_rate","qmix_originalstate_seed3 - eval_win_rate__MIN","qmix_originalstate_seed3 - eval_win_rate__MAX","qmix_originalstate_seed2 - eval_win_rate","qmix_originalstate_seed2 - eval_win_rate__MIN","qmix_originalstate_seed2 - eval_win_rate__MAX","qmix_originalstate_seed1 - eval_win_rate","qmix_originalstate_seed1 - eval_win_rate__MIN","qmix_originalstate_seed1 - eval_win_rate__MAX"
"10024","","","","","","","0","0","0"
"20010","","","","0.125","0.125","0.125","","",""
"20037","","","","","","","0","0","0"
"20039","0","0","0","","","","","",""
"30037","","","","","","","0","0","0"
"40012","","","","0","0","0","","",""
"40057","","","","","","","0.1875","0.1875","0.1875"
"40060","0.03125","0.03125","0.03125","","","","","",""
"50066","","","","","","","0.03125","0.03125","0.03125"
"60020","","","","0.53125","0.53125","0.53125","","",""
"60080","","","","","","","0.8125","0.8125","0.8125"
"60088","0.1875","0.1875","0.1875","","","","","",""
"70080","","","","","","","0.75","0.75","0.75"
"80033","","","","1","1","1","","",""
"80084","","","","","","","0.65625","0.65625","0.65625"
"80113","1","1","1","","","","","",""
"90106","","","","","","","0.90625","0.90625","0.90625"
"100062","","","","1","1","1","","",""
"100127","1","1","1","","","","","",""
"100133","","","","","","","1","1","1"
"110134","","","","","","","1","1","1"
"120072","","","","0.9375","0.9375","0.9375","","",""
"120134","","","","","","","1","1","1"
"120135","0.875","0.875","0.875","","","","","",""
"130147","","","","","","","1","1","1"
"140076","","","","1","1","1","","",""
"140151","0.96875","0.96875","0.96875","","","","","",""
"140163","","","","","","","0.90625","0.90625","0.90625"
"150182","","","","","","","1","1","1"
"160084","","","","1","1","1","","",""
"160165","1","1","1","","","","","",""
"160193","","","","","","","1","1","1"
"170193","","","","","","","0.875","0.875","0.875"
"180116","","","","0.90625","0.90625","0.90625","","",""
"180170","1","1","1","","","","","",""
"180200","","","","","","","1","1","1"
"190204","","","","","","","0.96875","0.96875","0.96875"
"200170","","","","0.71875","0.71875","0.71875","","",""
"200196","1","1","1","","","","","",""
"200215","","","","","","","0.90625","0.90625","0.90625"
"210224","","","","","","","1","1","1"
"220177","","","","0.96875","0.96875","0.96875","","",""
"220196","0.9375","0.9375","0.9375","","","","","",""
"220359","","","","","","","0.96875","0.96875","0.96875"
"230391","","","","","","","0.9375","0.9375","0.9375"
"240194","","","","0.96875","0.96875","0.96875","","",""
"240198","0.96875","0.96875","0.96875","","","","","",""
"240415","","","","","","","0.96875","0.96875","0.96875"
"250422","","","","","","","0.96875","0.96875","0.96875"
"260212","","","","0.96875","0.96875","0.96875","","",""
"260229","0.96875","0.96875","0.96875","","","","","",""
"260426","","","","","","","0.96875","0.96875","0.96875"
"270447","","","","","","","0.9375","0.9375","0.9375"
"280235","0.9375","0.9375","0.9375","","","","","",""
"280243","","","","0.96875","0.96875","0.96875","","",""
"280475","","","","","","","0.90625","0.90625","0.90625"
"290478","","","","","","","0.84375","0.84375","0.84375"
"300238","1","1","1","","","","","",""
"300250","","","","0.84375","0.84375","0.84375","","",""
"300479","","","","","","","0.875","0.875","0.875"
"310496","","","","","","","0.90625","0.90625","0.90625"
"320258","1","1","1","","","","","",""
"320278","","","","0.9375","0.9375","0.9375","","",""
"320499","","","","","","","0.8125","0.8125","0.8125"
"330545","","","","","","","0.96875","0.96875","0.96875"
"340292","1","1","1","","","","","",""
"340296","","","","1","1","1","","",""
"340549","","","","","","","1","1","1"
"350581","","","","","","","1","1","1"
"360301","","","","1","1","1","","",""
"360304","1","1","1","","","","","",""
"360611","","","","","","","0.96875","0.96875","0.96875"
"370629","","","","","","","1","1","1"
"380325","","","","0.9375","0.9375","0.9375","","",""
"380338","1","1","1","","","","","",""
"380650","","","","","","","0.9375","0.9375","0.9375"
"390680","","","","","","","1","1","1"
"400364","","","","0.90625","0.90625","0.90625","","",""
"400370","1","1","1","","","","","",""
"400681","","","","","","","0.96875","0.96875","0.96875"
"410684","","","","","","","0.9375","0.9375","0.9375"
"420381","0.875","0.875","0.875","","","","","",""
"420387","","","","0.9375","0.9375","0.9375","","",""
"420706","","","","","","","0.9375","0.9375","0.9375"
"430746","","","","","","","0.625","0.625","0.625"
"440382","0.75","0.75","0.75","","","","","",""
"440399","","","","0.96875","0.96875","0.96875","","",""
"440754","","","","","","","0.96875","0.96875","0.96875"
"450776","","","","","","","0.90625","0.90625","0.90625"
"460391","1","1","1","","","","","",""
"460431","","","","1","1","1","","",""
"460780","","","","","","","1","1","1"
"470786","","","","","","","1","1","1"
"480463","","","","0.9375","0.9375","0.9375","","",""
"480530","1","1","1","","","","","",""
"480820","","","","","","","1","1","1"
"490852","","","","","","","0.84375","0.84375","0.84375"
"500470","","","","1","1","1","","",""
"500550","1","1","1","","","","","",""
"500864","","","","","","","0.90625","0.90625","0.90625"
"510965","","","","","","","0.84375","0.84375","0.84375"
"520532","","","","0.96875","0.96875","0.96875","","",""
"520555","0.96875","0.96875","0.96875","","","","","",""
"520983","","","","","","","0.9375","0.9375","0.9375"
"531031","","","","","","","1","1","1"
"540573","1","1","1","","","","","",""
"540633","","","","0.96875","0.96875","0.96875","","",""
"541061","","","","","","","0.9375","0.9375","0.9375"
"551075","","","","","","","1","1","1"
"560587","0.90625","0.90625","0.90625","","","","","",""
"560658","","","","1","1","1","","",""
"561094","","","","","","","0.90625","0.90625","0.90625"
"571104","","","","","","","1","1","1"
"580626","0.96875","0.96875","0.96875","","","","","",""
"580672","","","","1","1","1","","",""
"581135","","","","","","","0.59375","0.59375","0.59375"
"591168","","","","","","","1","1","1"
"600645","1","1","1","","","","","",""
"600687","","","","1","1","1","","",""
"601203","","","","","","","0.90625","0.90625","0.90625"
"611206","","","","","","","0.96875","0.96875","0.96875"
"620645","0.78125","0.78125","0.78125","","","","","",""
"620710","","","","0.9375","0.9375","0.9375","","",""
"621231","","","","","","","1","1","1"
"631261","","","","","","","1","1","1"
"640673","0.9375","0.9375","0.9375","","","","","",""
"640724","","","","0.9375","0.9375","0.9375","","",""
"641273","","","","","","","1","1","1"
"651288","","","","","","","1","1","1"
"660710","0.96875","0.96875","0.96875","","","","","",""
"660755","","","","1","1","1","","",""
"661288","","","","","","","0.9375","0.9375","0.9375"
"671310","","","","","","","0.90625","0.90625","0.90625"
"680739","0.96875","0.96875","0.96875","","","","","",""
"680765","","","","1","1","1","","",""
"681337","","","","","","","0.84375","0.84375","0.84375"
"691338","","","","","","","0.9375","0.9375","0.9375"
"700778","1","1","1","","","","","",""
"700784","","","","1","1","1","","",""
"701364","","","","","","","1","1","1"
"711402","","","","","","","0.6875","0.6875","0.6875"
"720795","1","1","1","","","","","",""
"720808","","","","0.96875","0.96875","0.96875","","",""
"721427","","","","","","","0.9375","0.9375","0.9375"
"731455","","","","","","","0.875","0.875","0.875"
"740808","1","1","1","","","","","",""
"740832","","","","0.9375","0.9375","0.9375","","",""
"741455","","","","","","","1","1","1"
"751481","","","","","","","0.71875","0.71875","0.71875"
"760829","0.90625","0.90625","0.90625","","","","","",""
"760849","","","","1","1","1","","",""
"761483","","","","","","","1","1","1"
"771509","","","","","","","1","1","1"
"780851","0.875","0.875","0.875","","","","","",""
"780864","","","","0.96875","0.96875","0.96875","","",""
"781533","","","","","","","0.96875","0.96875","0.96875"
"791534","","","","","","","1","1","1"
"800878","0.9375","0.9375","0.9375","","","","","",""
"800889","","","","0.90625","0.90625","0.90625","","",""
"801557","","","","","","","0.96875","0.96875","0.96875"
"811562","","","","","","","1","1","1"
"820896","1","1","1","","","","","",""
"820921","","","","0.78125","0.78125","0.78125","","",""
"821584","","","","","","","0.875","0.875","0.875"
"831624","","","","","","","0.96875","0.96875","0.96875"
"840918","0.96875","0.96875","0.96875","","","","","",""
"840958","","","","1","1","1","","",""
"841631","","","","","","","1","1","1"
"851635","","","","","","","1","1","1"
"860940","0.90625","0.90625","0.90625","","","","","",""
"860961","","","","0.96875","0.96875","0.96875","","",""
"861670","","","","","","","0.6875","0.6875","0.6875"
"871689","","","","","","","1","1","1"
"880955","1","1","1","","","","","",""
"880989","","","","1","1","1","","",""
"881702","","","","","","","1","1","1"
"891706","","","","","","","0.96875","0.96875","0.96875"
"900960","1","1","1","","","","","",""
"901106","","","","1","1","1","","",""
"901727","","","","","","","1","1","1"
"911765","","","","","","","0.90625","0.90625","0.90625"
"921011","1","1","1","","","","","",""
"921118","","","","0.9375","0.9375","0.9375","","",""
"921772","","","","","","","0.90625","0.90625","0.90625"
"931790","","","","","","","0.9375","0.9375","0.9375"
"941024","1","1","1","","","","","",""
"941173","","","","1","1","1","","",""
"941829","","","","","","","0.9375","0.9375","0.9375"
"951848","","","","","","","1","1","1"
"961029","0.96875","0.96875","0.96875","","","","","",""
"961198","","","","0.90625","0.90625","0.90625","","",""
"961885","","","","","","","0.9375","0.9375","0.9375"
"971923","","","","","","","0.90625","0.90625","0.90625"
"981029","0.875","0.875","0.875","","","","","",""
"981226","","","","0.9375","0.9375","0.9375","","",""
"981954","","","","","","","1","1","1"
"992063","","","","","","","0.78125","0.78125","0.78125"
"1001075","0.96875","0.96875","0.96875","","","","","",""
"1001252","","","","0.8125","0.8125","0.8125","","",""
"1002197","","","","","","","0.875","0.875","0.875"
"1012244","","","","","","","0.8125","0.8125","0.8125"
"1021195","0.96875","0.96875","0.96875","","","","","",""
"1021253","","","","1","1","1","","",""
"1022276","","","","","","","0.9375","0.9375","0.9375"
"1032373","","","","","","","1","1","1"
"1041199","0.96875","0.96875","0.96875","","","","","",""
"1041268","","","","1","1","1","","",""
"1042404","","","","","","","1","1","1"
"1052435","","","","","","","0.75","0.75","0.75"
"1061268","0.96875","0.96875","0.96875","","","","","",""
"1061299","","","","1","1","1","","",""
"1062447","","","","","","","1","1","1"
"1072482","","","","","","","0.46875","0.46875","0.46875"
"1081295","1","1","1","","","","","",""
"1081301","","","","1","1","1","","",""
"1082508","","","","","","","1","1","1"
"1092531","","","","","","","1","1","1"
"1101307","0.96875","0.96875","0.96875","","","","","",""
"1101337","","","","0.96875","0.96875","0.96875","","",""
"1102594","","","","","","","0.78125","0.78125","0.78125"
"1112637","","","","","","","1","1","1"
"1121309","0.96875","0.96875","0.96875","","","","","",""
"1121363","","","","0.9375","0.9375","0.9375","","",""
"1122663","","","","","","","0.9375","0.9375","0.9375"
"1132769","","","","","","","1","1","1"
"1141339","0.96875","0.96875","0.96875","","","","","",""
"1141397","","","","1","1","1","","",""
"1142803","","","","","","","0.625","0.625","0.625"
"1152828","","","","","","","1","1","1"
"1161339","0.9375","0.9375","0.9375","","","","","",""
"1161416","","","","0.875","0.875","0.875","","",""
"1162829","","","","","","","0.9375","0.9375","0.9375"
"1172859","","","","","","","0.90625","0.90625","0.90625"
"1181414","0.84375","0.84375","0.84375","","","","","",""
"1181433","","","","0.9375","0.9375","0.9375","","",""
"1182920","","","","","","","0.9375","0.9375","0.9375"
"1192925","","","","","","","0.90625","0.90625","0.90625"
"1201449","","","","1","1","1","","",""
"1201536","0.6875","0.6875","0.6875","","","","","",""
"1202934","","","","","","","0.9375","0.9375","0.9375"
"1212942","","","","","","","0.90625","0.90625","0.90625"
"1221481","","","","0.96875","0.96875","0.96875","","",""
"1221554","0.96875","0.96875","0.96875","","","","","",""
"1222951","","","","","","","0.96875","0.96875","0.96875"
"1232951","","","","","","","0.90625","0.90625","0.90625"
"1241563","","","","0.9375","0.9375","0.9375","","",""
"1241606","0.21875","0.21875","0.21875","","","","","",""
"1243081","","","","","","","0.9375","0.9375","0.9375"
"1253096","","","","","","","1","1","1"
"1261567","","","","0.84375","0.84375","0.84375","","",""
"1261610","1","1","1","","","","","",""
"1263116","","","","","","","1","1","1"
"1273117","","","","","","","1","1","1"
"1281604","","","","0.875","0.875","0.875","","",""
"1281627","0.9375","0.9375","0.9375","","","","","",""
"1283149","","","","","","","0.9375","0.9375","0.9375"
"1293149","","","","","","","1","1","1"
"1301607","","","","0.96875","0.96875","0.96875","","",""
"1301643","0.9375","0.9375","0.9375","","","","","",""
"1303162","","","","","","","1","1","1"
"1313185","","","","","","","0.96875","0.96875","0.96875"
"1321635","","","","1","1","1","","",""
"1321668","0.8125","0.8125","0.8125","","","","","",""
"1323206","","","","","","","1","1","1"
"1333244","","","","","","","1","1","1"
"1341644","","","","0.84375","0.84375","0.84375","","",""
